goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1040	   1157899 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1023	   1200580 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1016	   1184217 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  63852537 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      19	  63492178 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  63730830 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      19	  63433381 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  64014829 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  63490128 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  64353384 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  64026667 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  63747506 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	      18	  64216219 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     810	   1496971 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     802	   1510124 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     794	   1519653 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     806	   1520390 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     796	   1508976 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     806	   1490102 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     781	   1508945 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     792	   1506687 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     782	   1526636 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     798	   1501559 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  63377803 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  63306417 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  63592029 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  64473941 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  63837630 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  64440867 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      16	  65017921 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      18	  63637963 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      19	  62744933 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	      19	  62907686 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	     819	   1444494 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	     842	   1425153 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	     829	   1436964 ns/op	      40 B/op	       2 allocs/op
